time_ms,reading,bpm,leads_off
3768461,429,0,0
3768507,449,0,0
3768553,485,0,0
3768598,522,0,0
3768645,518,0,0
3768690,446,0,0
3768736,461,0,0
3768783,474,0,0
3768830,475,0,0
3768877,464,0,0
3768922,477,0,0
3768968,492,0,0
3769056,489,0,0
3769103,512,0,0
3769150,525,0,0
3769197,535,0,0
3769245,520,0,0
3769292,510,0,0
3769340,725,0,0
3769387,522,0,0
3769433,538,0,0
3769480,546,0,0
3769527,565,0,0
3769574,584,0,0
3769622,487,0,0
3769670,505,0,0
3769719,511,0,0
3769769,524,0,0
3769853,521,0,0
3769901,523,0,0
3769949,521,0,0
3769996,506,0,0
3770043,504,0,0
3770091,522,0,0
3770140,515,0,0
3770188,494,0,0
3770237,406,0,0
3770286,507,0,0
3770334,526,0,0
3770382,541,0,0
3770430,572,0,0
3770480,521,0,0
3770528,566,0,0
3770577,470,0,0
3770666,502,0,0
3770714,494,0,0
3770762,491,0,0
3770811,485,0,0
3770861,486,0,0
3770909,497,0,0
3770958,493,0,0
3771006,630,0,0
3771056,513,0,0
3771106,499,0,0
3771154,521,0,0
3771204,554,0,0
3771254,589,0,0
3771304,499,0,0
3771354,490,0,0
3771404,506,0,0
3771493,495,0,0
3771544,492,0,0
3771597,510,0,0
3771646,506,0,0
3771697,629,0,0
3771748,526,0,0
3771799,519,0,0
3771850,532,0,0
3771902,575,0,0
3771953,577,0,0
3772002,503,0,0
3772054,496,0,0
3772103,505,0,0
3772155,509,0,0
3772206,500,0,0
3772256,509,0,0
3772348,619,0,0
3772398,524,0,0
3772450,511,0,0
3772502,529,0,0
3772552,563,0,0
3772603,575,0,0
3772655,492,0,0
3772706,482,0,0
3772758,483,0,0
3772809,492,0,0
3772860,490,0,0
3772913,516,0,0
3772966,506,0,0
3773019,909,0,0
3773073,485,0,0
3773124,496,0,0
3773215,573,0,0
3773267,551,0,0
3773319,490,0,0
3773372,491,0,0
3773425,495,0,0
3773477,489,0,0
3773529,532,0,0
3773581,504,0,0
3773634,504,0,0
3773687,513,0,0
3773746,494,0,0
3773799,529,0,0
3773851,575,0,0
3773903,572,0,0
3773956,479,0,0
3774008,475,0,0
3774101,514,0,0
3774153,510,0,0
3774207,500,0,0
3774259,520,0,0
3774312,487,0,0
3774366,937,0,0
3774420,503,0,0
3774474,494,0,0
3774527,522,0,0
3774581,571,0,0
3774634,528,0,0
3774687,495,0,0
3774741,480,0,0
3774798,500,0,0
3774852,513,0,0
3774905,499,0,0
3775000,519,0,0
3775053,556,0,0
3775106,514,0,0
3775161,553,0,0
3775215,525,0,0
3775269,518,0,0
3775323,514,0,0
3775377,545,0,0
3775432,553,0,0
3775487,485,0,0
3775542,477,0,0
3775596,489,0,0
3775650,502,0,0
3775704,502,0,0
3775758,495,0,0
3775812,493,0,0
3775909,508,0,0
3775962,489,0,0
3776052,496,0,0
3776091,496,0,0
3776129,506,0,0
3776169,546,0,0
3776206,563,0,0
3776245,559,0,0
3776284,504,0,0
3776324,474,0,0
3776364,489,0,0
3776403,506,0,0
3776443,486,0,0
3776484,515,0,0
3776524,490,0,0
3776563,503,0,0
3776641,482,0,0
3776680,558,0,0
3776720,426,0,0
3776760,481,0,0
3776801,523,0,0
3776840,508,0,0
3776880,535,0,0
3776922,569,0,0
3776962,500,0,0
3777003,490,0,0
3777045,476,0,0
3777086,501,0,0
3777127,476,0,0
3777167,507,0,0
3777208,493,0,0
3777248,515,0,0
3777330,526,0,0
3777370,407,0,0
3777411,485,0,0
3777453,511,0,0
3777495,510,0,0
3777536,561,0,0
3777576,567,0,0
3777617,516,0,0
3777657,470,0,0
3777698,491,0,0
3777739,493,0,0
3777782,504,0,0
3777823,494,0,0
3777865,511,0,0
3777906,513,0,0
3777947,497,0,0
3778028,388,0,0
3778070,503,0,0
3778111,495,0,0
3778155,528,0,0
3778198,564,0,0
3778240,563,0,0
3778283,499,0,0
3778324,470,0,0
3778367,498,0,0
3778410,485,0,0
3778452,507,0,0
3778496,492,0,0
3778539,500,0,0
3778581,514,0,0
3778622,517,0,0
3778665,502,0,0
3778749,499,0,0
3778791,490,0,0
3778834,529,0,0
3778877,533,0,0
3778919,586,0,0
3778962,510,0,0
3779006,477,0,0
3779051,493,0,0
3779095,485,0,0
3779139,498,0,0
3779182,505,0,0
3779226,492,0,0
3779269,513,0,0
3779314,504,0,0
3779358,494,0,0
3779401,534,0,0
3779485,521,0,0
3779530,860,0,0
3779573,484,0,0
3779618,519,0,0
3779662,512,0,0
3779705,551,0,0
3779750,591,0,0
3779796,495,0,0
3779841,471,0,0
3779886,498,0,0
3779930,489,0,0
3779975,484,0,0
3780019,511,0,0
3780065,501,0,0
3780110,493,0,0
3780154,506,0,0
3780240,500,0,0
3780284,526,0,0
3780329,517,0,0
3780373,503,0,0
3780419,771,0,0
3780463,526,0,0
3780509,495,0,0
3780555,519,0,0
3780602,553,0,0
3780647,578,0,0
3780693,507,0,0
3780738,473,0,0
3780783,493,0,0
3780830,489,0,0
3780875,487,0,0
3780920,501,0,0
3781007,497,0,0
3781052,520,0,0
3781098,514,0,0
3781145,498,0,0
3781193,515,0,0
3781238,515,0,0
3781284,526,0,0
3781331,551,0,0
3781378,491,0,0
3781425,505,0,0
3781472,534,0,0
3781517,579,0,0
3781564,571,0,0
3781610,473,0,0
3781657,476,0,0
3781703,497,0,0
3781791,487,0,0
3781838,506,0,0
3781886,510,0,0
3781933,517,0,0
3781979,500,0,0
3782026,512,0,0
3782073,502,0,0
3782121,504,0,0
3782168,435,0,0
3782215,509,0,0
3782263,517,0,0
3782311,528,0,0
3782360,567,0,0
3782408,519,0,0
3782457,471,0,0
3782505,482,0,0
3782592,483,0,0
3782639,489,0,0
3782686,506,0,0
3782734,511,0,0
3782782,518,0,0
3782831,519,0,0
3782879,496,0,0
3782928,793,0,0
3782976,493,0,0
3783024,495,0,0
3783072,522,0,0
3783120,558,0,0
3783168,596,0,0
3783216,506,0,0
3783265,485,0,0
3783314,496,0,0
3783406,493,0,0
3783454,501,0,0
3783502,512,0,0
3783551,529,0,0
3783599,508,0,0
3783648,824,0,0
3783698,504,0,0
3783746,501,0,0
3783794,508,0,0
3783843,545,0,0
3783892,559,0,0
3783941,482,0,0
3783990,473,0,0
3784039,484,0,0
3784089,495,0,0
3784140,495,0,0
3784230,508,0,0
3784279,485,0,0
3784329,411,0,0
3784380,492,0,0
3784430,512,0,0
3784483,549,0,0
3784533,584,0,0
3784584,504,0,0
3784638,485,0,0
3784689,486,0,0
3784741,487,0,0
3784792,482,0,0
3784843,498,0,0
3784894,489,0,0
3784946,932,0,0
3784996,487,0,0
3785089,515,0,0
3785140,547,0,0
3785191,538,0,0
3785242,464,0,0
3785294,474,0,0
3785345,494,0,0
3785395,492,0,0
3785447,521,0,0
3785499,507,0,0
3785553,520,0,0
3785605,503,0,0
3785656,481,0,0
3785708,493,0,0
3785759,537,0,0
3785811,562,0,0
3785863,486,0,0
3785956,487,0,0
3786006,493,0,0
3786058,491,0,0
3786110,511,0,0
3786164,514,0,0
3786215,511,0,0
3786267,425,0,0
3786320,498,0,0
3786375,495,0,0
3786428,538,0,0
3786482,586,0,0
3786535,491,0,0
3786587,482,0,0
3786639,486,0,0
3786692,489,0,0
3786745,492,0,0
3786841,492,0,0
3786892,488,0,0
3786945,502,0,0
