55984018,64911,0
55987123,64479,0
55990241,64527,0
55993320,64479,0
55996422,64671,0
55999556,64607,0
56002605,64607,0
56005695,64383,0
56008773,64575,0
56011874,64351,0
56014949,64415,0
56018028,64287,0
56021137,64543,0
56024275,64607,0
56027317,64543,0
56030389,64287,0
56033532,64383,0
56036627,64543,0
56039712,64543,0
56042797,64431,0
56045880,64463,0
56048989,64607,0
56052073,64527,0
56055165,64447,0
56058280,64431,0
56061319,64623,0
56064404,64399,0
56068208,64559,0
56071312,64543,0
56074356,64527,0
56077522,64447,0
56081289,64479,0
56084331,64527,0
56087428,64607,0
56090590,64431,0
56093716,64287,0
56096862,64367,0
56099934,64575,0
56103019,64207,0
56106083,64175,0
56109172,64175,0
56112305,63823,0
56115355,63743,0
56118535,63727,0
56121644,63711,0
56124767,63055,0
56127866,61182,0
56130941,59918,0
56134046,61278,0
56137143,62815,0
56140264,63455,0
56143307,61198,0
56146415,57870,0
56149522,57293,0
56153314,59614,0
56156366,61150,0
56159445,60158,0
56162592,57390,0
56165703,56733,0
56168802,58078,0
56171884,59118,0
56174958,57598,0
56178029,54413,0
56181128,52732,0
56184243,53389,0
56187320,55245,0
56191108,54925,0
56194221,51868,0
56197304,49548,0
56200401,49564,0
56203533,51276,0
56206619,52204,0
56209689,50492,0
56212818,47387,0
56216636,47563,0
56219720,49724,0
56222815,51068,0
56225909,49115,0
56228995,45467,0
56232093,43882,0
56235241,45050,0
56238327,48059,0
56241363,50060,0
56244448,50844,0
56248330,54925,0
56251376,61342,0
56254524,64159,0
56257635,64255,0
56260737,64303,0
56263827,64239,0
56266942,64143,0
56270018,60270,0
56273134,50444,0
56276220,39017,0
56279951,30279,0
56283062,32199,0
56286837,39433,0
56289924,42970,0
56293020,42042,0
56296092,37593,0
56299247,36008,0
56302333,36696,0
56305406,37865,0
56308563,37353,0
56311680,34728,0
56314785,33688,0
56317890,35784,0
56320971,37833,0
56324754,37305,0
56327857,34360,0
56330946,32920,0
56334044,33992,0
56337109,36696,0
56340220,36424,0
56343348,31415,0
56346386,24598,0
56349523,20629,0
56352608,19748,0
56355704,19988,0
56358821,17828,0
56361890,13283,0
56364981,10578,0
56368078,11362,0
56371184,13075,0
56374304,13123,0
56377360,9826,0
56381191,6545,0
56384320,7761,0
56387366,10626,0
56390471,11826,0
56393596,9698,0
56396672,6865,0
56399753,8226,0
56402815,11970,0
56405904,15363,0
56408982,15587,0
